Alpha,Threshold,TP,FP,TN,FN,Accuracy,Precision,Recall,F1_Score,Yes_Ratio
2.0,0.3,1442,1488,12,58,0.4846666666666667,0.49215017064846417,0.9613333333333334,0.6510158013544018,0.9766666666666667
1.0,0.3,1442,1488,12,58,0.4846666666666667,0.49215017064846417,0.9613333333333334,0.6510158013544018,0.9766666666666667
0.0,0.3,1311,115,1385,189,0.8986666666666666,0.9193548387096774,0.874,0.8961038961038961,0.47533333333333333
-1.0,0.3,1162,16,1484,338,0.882,0.9864176570458404,0.7746666666666666,0.8678117998506348,0.39266666666666666
-2.0,0.3,1147,16,1484,353,0.877,0.9862424763542562,0.7646666666666667,0.8614344723995494,0.38766666666666666
-3.0,0.3,938,13,1487,562,0.8083333333333333,0.9863301787592008,0.6253333333333333,0.7654018767849856,0.317
-4.0,0.3,702,4,1496,798,0.7326666666666667,0.9943342776203966,0.468,0.6364460562103355,0.23533333333333334
-5.0,0.3,674,29,1471,826,0.715,0.9587482219061166,0.4493333333333333,0.6118928733545166,0.23433333333333334
-6.0,0.3,1216,1448,52,284,0.4226666666666667,0.45645645645645644,0.8106666666666666,0.5840537944284342,0.888
-7.0,0.3,1458,1493,7,42,0.48833333333333334,0.49406980684513724,0.972,0.6551336778252078,0.9836666666666667
-8.0,0.3,1458,1493,7,42,0.48833333333333334,0.49406980684513724,0.972,0.6551336778252078,0.9836666666666667
-9.0,0.3,1458,1493,7,42,0.48833333333333334,0.49406980684513724,0.972,0.6551336778252078,0.9836666666666667
-10.0,0.3,1458,1493,7,42,0.48833333333333334,0.49406980684513724,0.972,0.6551336778252078,0.9836666666666667
2.0,0.4,1431,1487,13,69,0.48133333333333334,0.4904043865661412,0.954,0.6478044363965596,0.9726666666666667
1.0,0.4,1431,1487,13,69,0.48133333333333334,0.4904043865661412,0.954,0.6478044363965596,0.9726666666666667
0.0,0.4,1311,115,1385,189,0.8986666666666666,0.9193548387096774,0.874,0.8961038961038961,0.47533333333333333
-1.0,0.4,1196,24,1476,304,0.8906666666666667,0.980327868852459,0.7973333333333333,0.8794117647058824,0.4066666666666667
-2.0,0.4,1180,24,1476,320,0.8853333333333333,0.9800664451827242,0.7866666666666666,0.8727810650887573,0.4013333333333333
